id,film,date,score,review,is_english
132155,Captain Marvel,2019-03-16,0,"If not for Iron Man 3 and Guardians of the Galaxy 2 this would be the worst MCU movie ever made. Larson’s walk through of her lines\, the flat and very not funny one liners are only a few of the issues with this movie. My son and wife were so bored they took naps during the slower moving portions of the movie. I must say they were long naps. The action scenes served no purpose and the dramatic moments were lackluster at best. I wanted this movie to be good. I enjoyed all versions of Captain Marvel Comics but I can say this movie will not be added to my collection of MCU Blu-Rays. Disney has assumed the audience will flock to the movie regardless of the quality. Don’t be fooled this movie is at best a good in flight presentation as you fly across the country on Jet Blue",True
126956,Captain Marvel,2019-03-15,0,"Half star\, does it mean that I’m threaten by empowered woman? “Neooow”! But GOD I’m so sick oh these movies bashing men\, why can’t they co exist simultaneously? This movie is the last Jedi of the MCU. Reviewers giving this lame movie 5 stars? Really? You mean this movie is on par with classic films with little room for improvement? No wonder the film industry is struggling to get people into the theaters. Speaking of that\, I reluctantly went to see this film with a couple of friends shortly after the movie opened and there were a total of five men and only one woman\, so I’m left scratching my head as to the millions of dollars it’s making reportedly? Fake news I guess. ",True
131464,Captain Marvel,2019-03-14,3,I enjoyed many of the Marvel movies better than Cpt. Marvel.  Plot is elementary at best and action is average to sup par.,True
172902,Captain Marvel,2019-07-03,2,"The action scenes and the interaction between Captain Marvel and Nick Fury are really enjoyable. But the film doesn't really have a flare or style and feels kind of bland and boring. It's a movie. Not bad\, not great. Perfectly average.",True
160550,Captain Marvel,2019-03-09,0,"one of the worst marvel movies ever seen\, i never found the climax in the movie.",True
198866,Captain Marvel,2019-12-16,0,Worst superhero movie ever,True
186190,Captain Marvel,2019-03-10,5,"This movie was AMAZING! This was NOT A FEMINIST MOVIE! It was an ALL-WOMEN EMPOWERING MOVIE!!!! And emotionally driven NOT over the top and PERFECTLY VISUSALLY STIMULATINGLY AND STUNNING. Every negative review is based on lack of PLAIN SENSE! This movie is everything a Marvel movie should be COMPLETE STORYLINE\, DRAMATICS\, THEATER AND FAMILY AND HOPE/ENCOURAGEMENT! Dont get distracted by egosticial driven people who dont want wmoem to LOOK OR BE ANYTHING THAN WHAT THEY IMAGINED. Those people need to slapped across the face with a bible maybe that will know some sense into them! It was amazing and Brie showed her authority and how much she wanted to be a part of something bigger than herself this IS COMPLETELY COMMENDABLE AND HONRABLE SO YOU GO BRIE LARSON....KICK ASS GIRL AND KEEP IT COMING!",True
114178,Captain Marvel,2019-03-29,1,.Couldn't connect with Carol at all!!!! It's a shame they ruined this character,True
112691,Captain Marvel,2019-04-14,4,Captian Marvel was a good fun Marvel film any Marvel fan would enjoy.,True
163446,Captain Marvel,2019-04-07,0,probably the worst Marvel movie since they started the whole cinematic universe. The character had a lot of potential but they blew it.,True
164218,Captain Marvel,2019-03-10,5,Really enjoyed the movie. Another fun hit for Marvel.  Looking forward to more.,True
159776,Captain Marvel,2019-03-08,5,"One of the best MCU movies \, totally in my top 7\, Carol Danvers is one of  most charismatic characters in this universe \, And the pair with Nick fury flawless",True
194240,Captain Marvel,2019-05-29,0,Weak and a pointless addition to the MCU ,True
196698,Captain Marvel,2019-03-08,2,"While the highlight of the film was portrayed to be as a bubble of empowerment around Carol Danvers\, her character falls flat compared to side-characters.\n\nWhile the CG has always been something to appreciate\, the reliance on it can't save a film from a bad script. \n\nIf you want more marvel goodness\, go into this film with low expectations and watch out for the show stealing spotlight\, Goose the Cat.",True
190431,Captain Marvel,2019-03-13,0,Two thumbs WAY the heck down,True
143699,Captain Marvel,2019-06-02,4,It's underrated due to audiences who can't let go of their ego's\nIt's an enjoyable movie with good humour and action,True
176901,Captain Marvel,2019-03-09,2,"The movie overall was okay\, not terrible\, nor the best movie. Captain marvel power were awesome made her completely unstoppable! And Goose and Nick Fury stole the movie\, but here the down side of the movie. The main protagonist is dull\, soft spoken\, and hard headed. Dramatically change a lot of stuff from the comics (which excepted). Focus more on political message standpoint than a superhero movie. More of a captain marvel and nick fury movie than her own. The most confusing part is how the portrayal the skrulls? If you want a good female-led role superhero Wonder Woman with Gal Gadot is FAR BETTER than this movie. Hopefully the Russo brother save her character in endgame.",True
158351,Captain Marvel,2019-03-17,2,"Not the worst Marvel movie\, but there was just to many slow points\, and I felt like it couldâ(TM)ve been better. The emphasis on the female role bled through to the supporting characters and even the music. There was only 1 song that wasnâ(TM)t by a woman. Iâ(TM)m all for equality\, but I felt like they were trying to make a point where there wasnâ(TM)t a need.",True
140602,Captain Marvel,2019-03-23,4,"I think it's a good movie. It is necessary to emphasize that the first minutes of the film the performance of the protagonist is not the best. But I think that in script and production is a very good movie. On the other hand\, some \""funny\"" or sound editing scenes were forced\, especially at the end of the movie.",True
148450,Captain Marvel,2019-03-14,2,"Just nothing really amazing\, normal perfermance as a marvel movie\, but with very bad actor choice.",True
164778,Captain Marvel,2019-03-09,4,"Regardless of the nay sayers\, this was a solid origin story movie. I enjoyed the characters and look forward to more appearances of Cpt. Marvel.",True
142135,Captain Marvel,2019-03-13,4,"It's a fun Marvel Pic. If you like comic book movies you won't be disappointed. Some of the reviews I've read are just plain ridiculous.  People just trying to how expansive their vocabulary is in an attempt to bring down this movie\, as if it's not like Citizen Kane it's not a good movie.  It only proves how obnoxious they are and it no way reflects upon the validity of whether this is a good movie. It is a good movie. Is it the best movie ever? No. But it doesn't have to be to be good or fun or worth seeing\, which it is all three.",True
107892,Captain Marvel,2019-03-14,4,A wonderful origin story setting the stage for a new MCU legacy.,True
